" "
" "
" "
"http://data.bioontology.org/ontologies/EFO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85";"632800";"Connection reset"
" "
" "
"http://data.bioontology.org/ontologies/UO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85";"11003";"Server returned HTTP response code: 400 for URL: http://data.bioontology.org/ontologies/UO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85"
" "
"http://data.bioontology.org/ontologies/BTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85";"10830";"Server returned HTTP response code: 400 for URL: http://data.bioontology.org/ontologies/BTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85"
" "
" "
"http://192.168.86.144/ontologies/onto_uo.obo";"30164";"Ontology already exists. OntologyID(OntologyIRI(<http://purl.obolibrary.org/obo/uo.owl>))"
" "
"http://192.168.86.144/ontologies/onto_uo.obo";"16677";"Ontology already exists. OntologyID(OntologyIRI(<http://purl.obolibrary.org/obo/uo.owl>))"
" "
"http://192.168.86.144/ontologies/onto_uo.obo";"12634";"Ontology already exists. OntologyID(OntologyIRI(<http://purl.obolibrary.org/obo/uo.owl>))"
" "
" "
"http://192.168.86.144/ontologies/onto_uo.obo";"160";"Ontology already exists. OntologyID(OntologyIRI(<http://purl.obolibrary.org/obo/uo.owl>))"
